activation,n,eps_mean,eps_std,r2_mean,r2_std,fid_mean,fid_std,ent_mean,ent_std
identity,210,1.2221850910198119e-08,1.4803593071065034e-08,0.9999999999999996,6.138376616823047e-16,1.0,0.0,,
tanh,210,0.10874270580663796,0.08496504939390326,0.9809863683944485,0.02407103618186224,0.9637390476190476,0.02746381523776312,,
gelu,210,0.32652701476146173,0.11345030033263596,0.8643102154156237,0.09071058235365138,0.9047857142857143,0.041823511458644574,0.693122874561232,9.915382267905902e-06
relu,210,0.4276504778269601,0.004804023105925257,0.7317804575661907,0.005228200526839497,0.8471533333333333,0.02570549274487417,0.693122874561232,9.915382267905902e-06
