activation,num_clusters,eps_mean,eps_std,fid_mean,fid_std
identity,2,1.4546268747243295e-08,1.2014503760306528e-08,1.0,0.0
identity,4,1.7581542809899434e-08,9.049521537303607e-09,1.0,0.0
identity,8,2.1325812268319267e-08,6.399695890121569e-09,1.0,0.0
tanh,2,0.10885903785945528,0.08570356334673479,0.9636514285714286,0.027509010665705103
tanh,4,0.10789925804433936,0.08688824368088083,0.9635695238095239,0.02812469542226411
tanh,8,0.10689267297478405,0.08876075701357979,0.9637238095238095,0.02884279623249104
gelu,2,0.29240917490851903,0.12097039333567447,0.914267619047619,0.04294837892956084
gelu,4,0.2641880455758381,0.12181021527300724,0.922407619047619,0.04192200937338318
gelu,8,0.24272099037062114,0.12251226432745113,0.9277552380952381,0.04186113402440345
relu,2,0.37754856964686684,0.03400925611622224,0.8658552380952381,0.01956411117621469
relu,4,0.3395697426370681,0.0486070693572513,0.8786619047619048,0.02091442066063113
relu,8,0.3103442180882583,0.06123383578011349,0.8882514285714286,0.023036298024152094
